iter	Passed	Remaining
0	145	145624
1	147	73388
2	148	49402
3	149	37339
4	151	30093
5	152	25265
6	154	21853
7	157	19517
8	159	17599
9	161	15947
10	162	14590
11	163	13478
12	165	12536
13	166	11729
14	167	11021
15	170	10488
16	172	9962
17	173	9475
18	174	9025
19	175	8619
20	177	8269
21	178	7936
22	180	7652
23	181	7385
24	185	7222
25	186	6994
26	188	6781
27	189	6570
28	190	6378
29	191	6195
30	192	6027
31	194	5871
32	195	5721
33	196	5582
34	199	5506
35	201	5383
36	202	5267
37	203	5154
38	204	5044
39	205	4943
40	207	4842
41	208	4750
42	209	4661
43	210	4576
44	213	4541
45	215	4477
46	217	4402
47	218	4333
48	219	4263
49	220	4192
50	221	4127
51	222	4064
52	223	4001
53	225	3952
54	228	3920
55	229	3869
56	231	3822
57	232	3768
58	233	3719
59	234	3672
60	235	3626
61	236	3583
62	238	3540
63	239	3508
64	242	3485
65	243	3448
66	245	3416
67	246	3382
68	247	3345
69	249	3309
70	250	3275
71	251	3241
72	253	3213
73	254	3182
74	256	3166
75	258	3140
76	259	3111
77	260	3082
78	261	3052
79	262	3024
80	264	2996
81	265	2968
82	265	2935
83	267	2914
84	268	2890
85	269	2868
86	272	2855
87	273	2835
88	274	2814
89	276	2792
90	277	2771
91	278	2750
92	280	2733
93	281	2711
94	282	2691
95	283	2670
96	285	2658
97	287	2642
98	288	2626
99	289	2607
100	290	2587
101	291	2568
102	293	2557
103	294	2541
104	296	2524
105	297	2508
106	299	2496
107	301	2486
108	302	2473
109	303	2458
110	305	2443
111	306	2428
112	307	2415
113	308	2400
114	309	2385
115	311	2371
116	312	2355
117	313	2343
118	315	2337
119	317	2325
120	318	2311
121	319	2296
122	320	2284
123	322	2276
124	323	2265
125	324	2252
126	325	2239
127	327	2229
128	329	2225
129	331	2215
130	332	2205
131	333	2192
132	334	2183
133	336	2172
134	337	2161
135	338	2149
136	339	2138
137	340	2126
138	341	2115
139	343	2110
140	345	2102
141	346	2093
142	347	2085
143	349	2075
144	351	2069
145	352	2061
146	353	2052
147	355	2043
148	356	2033
149	358	2029
150	360	2025
151	361	2016
152	363	2011
153	364	2004
154	365	1994
155	366	1985
156	368	1976
157	369	1968
158	370	1961
159	372	1957
160	373	1948
161	375	1943
162	376	1935
163	378	1927
164	379	1918
165	380	1910
166	381	1902
167	382	1894
168	383	1887
169	385	1883
170	387	1878
171	389	1875
172	391	1870
173	392	1864
174	393	1857
175	395	1850
176	396	1843
177	397	1836
178	399	1832
179	401	1829
180	403	1825
181	405	1820
182	406	1815
183	407	1808
184	409	1803
185	411	1798
186	412	1792
187	414	1792
188	417	1790
189	418	1785
190	420	1779
191	422	1776
192	423	1770
193	424	1763
194	425	1757
195	426	1750
196	430	1753
197	432	1751
198	433	1746
199	435	1740
200	436	1735
201	437	1729
202	438	1723
203	440	1716
204	441	1711
205	443	1710
206	445	1706
207	446	1700
208	448	1695
209	449	1690
210	450	1684
211	451	1678
212	452	1671
213	453	1665
214	454	1659
215	455	1654
216	458	1654
217	460	1650
218	461	1646
219	462	1641
220	464	1636
221	465	1631
222	466	1625
223	467	1620
224	468	1614
225	470	1609
226	472	1609
227	474	1607
228	475	1602
229	477	1598
230	478	1593
231	479	1588
232	481	1584
233	482	1579
234	483	1574
235	486	1573
236	488	1572
